r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0.243,0,-0.01,0.01,-0.158168845805176,-0.168168845805176,-0.148168845805176
0.244,0,-0.01,0.01,-0.158197827604627,-0.168197827604627,-0.148197827604627
0.245,0,-0.01,0.01,-0.158226790761844,-0.168226790761844,-0.148226790761844
0.246,0,-0.01,0.01,-0.158255735276829,-0.168255735276829,-0.148255735276829
0.247,0,-0.01,0.01,-0.15828466114958,-0.16828466114958,-0.14828466114958
0.248,0,-0.01,0.01,-0.158313568380098,-0.168313568380098,-0.148313568380098
0.249,0,-0.01,0.01,-0.158342456968382,-0.168342456968382,-0.148342456968382
0.25,0,-0.01,0.01,-0.158371326914434,-0.168371326914434,-0.148371326914434
0.251,0,-0.01,0.01,-0.158400178218252,-0.168400178218252,-0.148400178218252
0.252,0,-0.01,0.01,-0.158429010879837,-0.168429010879837,-0.148429010879837
0.253,0,-0.01,0.01,-0.158457824899188,-0.168457824899188,-0.148457824899188
0.254,0,-0.01,0.01,-0.158486620276307,-0.168486620276307,-0.148486620276307
0.255,0,-0.01,0.01,-0.158515397011192,-0.168515397011192,-0.148515397011192
0.256,0,-0.01,0.01,-0.158544155103843,-0.168544155103843,-0.148544155103843
0.257,0,-0.01,0.01,-0.158572894554262,-0.168572894554262,-0.148572894554262
0.258,0,-0.01,0.01,-0.158601615362447,-0.168601615362447,-0.148601615362447
0.259,0,-0.01,0.01,-0.158630317528399,-0.168630317528399,-0.148630317528399
0.26,0,-0.01,0.01,-0.158659001052118,-0.168659001052118,-0.148659001052118
0.261,0,-0.01,0.01,-0.158687665933604,-0.168687665933603,-0.148687665933603
0.262,0,-0.01,0.01,-0.158716312172856,-0.168716312172856,-0.148716312172856
0.263,0,-0.01,0.01,-0.158744939769875,-0.168744939769875,-0.148744939769875
0.264,0,-0.01,0.01,-0.15877354872466,-0.16877354872466,-0.14877354872466
0.265,0,-0.01,0.01,-0.158802139037213,-0.168802139037213,-0.148802139037213
0.266,0,-0.01,0.01,-0.158830710707532,-0.168830710707532,-0.148830710707532
0.267,0,-0.01,0.01,-0.158859263735618,-0.168859263735618,-0.148859263735618
0.268,0,-0.01,0.01,-0.158887798121471,-0.168887798121471,-0.148887798121471
0.269,0,-0.01,0.01,-0.15891631386509,-0.16891631386509,-0.14891631386509
0.27,0,-0.01,0.01,-0.158944810966476,-0.168944810966476,-0.148944810966476
0.271,0,-0.01,0.01,-0.158973289425629,-0.168973289425629,-0.148973289425629
0.272,0,-0.01,0.01,-0.159001749242549,-0.169001749242549,-0.149001749242549
0.273,0,-0.01,0.01,-0.159030190417235,-0.169030190417235,-0.149030190417235
0.274,0,-0.01,0.01,-0.159058612949688,-0.169058612949688,-0.149058612949688
0.275,0,-0.01,0.01,-0.159087016839908,-0.169087016839908,-0.149087016839908
0.276,0,-0.01,0.01,-0.159115402087895,-0.169115402087895,-0.149115402087895
0.277,0,-0.01,0.01,-0.159143768693648,-0.169143768693648,-0.149143768693648
0.278,0,-0.01,0.01,-0.159172116657168,-0.169172116657168,-0.149172116657168
0.279,0,-0.01,0.01,-0.159200445978455,-0.169200445978455,-0.149200445978455
0.28,0,-0.01,0.01,-0.159228756657508,-0.169228756657508,-0.149228756657508
0.281,0,-0.01,0.01,-0.159257048694329,-0.169257048694329,-0.149257048694329
0.282,0,-0.01,0.01,-0.159285322088916,-0.169285322088916,-0.149285322088916
0.283,0,-0.01,0.01,-0.159313576841269,-0.169313576841269,-0.149313576841269
0.284,0,-0.01,0.01,-0.15934181295139,-0.16934181295139,-0.14934181295139
0.285,0,-0.01,0.01,-0.159370030419277,-0.169370030419277,-0.149370030419277
0.286,0,-0.01,0.01,-0.159398229244931,-0.169398229244931,-0.149398229244931
0.287,0,-0.01,0.01,-0.159426409428352,-0.169426409428352,-0.149426409428352
0.288,0,-0.01,0.01,-0.159454570969539,-0.169454570969539,-0.149454570969539
